rho, F, G
0.83, 4.155029745723916, 1.7957293881789025
0.84, 4.1388801360828955, 1.7916890947535276
0.85, 4.123185522093912, 1.7876894785555781
0.86, 4.10793327837021, 1.7837296775085238
0.87, 4.093111263871028, 1.779808857899093
0.88, 4.078707798179652, 1.7759262131226106
0.89, 4.0647116391923355, 1.772080962497584
0.9, 4.05111196211959, 1.7682723501449498
0.91, 4.037898339709247, 1.7644996439278127
0.92, 4.025060723607841, 1.760762134447738
0.93, 4.0125894267833795, 1.757059134094034
0.94, 4.000475106938563, 1.7533899761426552
0.95, 3.988708750848895, 1.7497540139016625
0.96, 3.9772816595651572, 1.746150619900348
0.97, 3.9661854344241987, 1.7425791851193684
0.98, 3.9554119638162093, 1.7390391182594087
0.99, 3.944953410660418, 1.7355298450460688
1., 3.934802200544679, 1.7320508075688772
1.01, 3.9249510104876038, 1.7286014636522489
1.02, 3.915392758284864, 1.7251812862569724
1.03, 3.906120592403977, 1.7217897629097334
1.04, 3.897127882394413, 1.718426395159964
1.05, 3.8884082097821535, 1.7150906980617688
1.06, 3.8799553594199345, 1.7117821996798808
1.07, 3.871763311266376, 1.7085004406182271
1.08, 3.863826232569042, 1.7052449735698771
1.09, 3.8561384704280677, 1.7020153628872081
1.1, 3.848694544718603, 1.698811184171206
1.11, 3.8414891413517296, 1.6956320238788862
1.12, 3.8345171058548164, 1.692477478947863
1.13, 3.827773437253524, 1.6893471564371922
1.14, 3.821253282238797, 1.6862406731836226
1.15, 3.814951929603241, 1.6831576554724936
1.16, 3.8088648049322664, 1.6800977387224831
1.17, 3.802987465536274, 1.6770605671835683
1.18, 3.7973155956110287, 1.6740457936474893
1.19, 3.7918450016141434, 1.6710530791701168
1.2, 3.786571607846315, 1.6680820928051405
1.21, 3.781491452226669, 1.6651325113485076
1.22, 3.77660068225218, 1.6622040190931107
1.23, 3.771895551131739, 1.6592963075932368
1.24, 3.7673724140859934, 1.6564090754382608
1.25, 3.763027724804604, 1.6535420280352422
1.26, 3.758858032053036, 1.6506948773999124
1.27, 3.75485997642148, 1.6478673419557213
1.28, 3.7510302872088803, 1.645059146340548
1.29, 3.747365779435492, 1.642270021220734
1.3, 3.743863350977711, 1.6394997031120984
1.31, 3.740519979819308, 1.6367479342076334
1.32, 3.7373327214134973, 1.6340144622115669
